,id,label,hemisphere,structure,scale,yeo_7,von_economo
0,1,7Networks_LH_Vis_1,L,cortex,scale122,,
1,2,7Networks_LH_Vis_2,L,cortex,scale122,,
2,3,7Networks_LH_Vis_3,L,cortex,scale122,,
3,4,7Networks_LH_Vis_4,L,cortex,scale122,,
4,5,7Networks_LH_Vis_5,L,cortex,scale122,,
5,6,7Networks_LH_Vis_6,L,cortex,scale122,,
6,7,7Networks_LH_Vis_7,L,cortex,scale122,,
7,8,7Networks_LH_Vis_8,L,cortex,scale122,,
8,9,7Networks_LH_Vis_9,L,cortex,scale122,,
9,10,7Networks_LH_SomMot_1,L,cortex,scale122,,
10,11,7Networks_LH_SomMot_2,L,cortex,scale122,,
11,12,7Networks_LH_SomMot_3,L,cortex,scale122,,
12,13,7Networks_LH_SomMot_4,L,cortex,scale122,,
13,14,7Networks_LH_SomMot_5,L,cortex,scale122,,
14,15,7Networks_LH_SomMot_6,L,cortex,scale122,,
15,16,7Networks_LH_DorsAttn_Post_1,L,cortex,scale122,,
16,17,7Networks_LH_DorsAttn_Post_2,L,cortex,scale122,,
17,18,7Networks_LH_DorsAttn_Post_3,L,cortex,scale122,,
18,19,7Networks_LH_DorsAttn_Post_4,L,cortex,scale122,,
19,20,7Networks_LH_DorsAttn_Post_5,L,cortex,scale122,,
20,21,7Networks_LH_DorsAttn_Post_6,L,cortex,scale122,,
21,22,7Networks_LH_DorsAttn_FEF_1,L,cortex,scale122,,
22,23,7Networks_LH_DorsAttn_FEF_2,L,cortex,scale122,,
23,24,7Networks_LH_SalVentAttn_ParOper_1,L,cortex,scale122,,
24,25,7Networks_LH_SalVentAttn_FrOper_1,L,cortex,scale122,,
25,26,7Networks_LH_SalVentAttn_FrOper_2,L,cortex,scale122,,
26,27,7Networks_LH_SalVentAttn_PFCl_1,L,cortex,scale122,,
27,28,7Networks_LH_SalVentAttn_Med_1,L,cortex,scale122,,
28,29,7Networks_LH_SalVentAttn_Med_2,L,cortex,scale122,,
29,30,7Networks_LH_SalVentAttn_Med_3,L,cortex,scale122,,
30,31,7Networks_LH_Limbic_OFC_1,L,cortex,scale122,,
31,32,7Networks_LH_Limbic_TempPole_1,L,cortex,scale122,,
32,33,7Networks_LH_Limbic_TempPole_2,L,cortex,scale122,,
33,34,7Networks_LH_Cont_Par_1,L,cortex,scale122,,
34,35,7Networks_LH_Cont_PFCl_1,L,cortex,scale122,,
35,36,7Networks_LH_Cont_pCun_1,L,cortex,scale122,,
36,37,7Networks_LH_Cont_Cing_1,L,cortex,scale122,,
37,38,7Networks_LH_Default_Temp_1,L,cortex,scale122,,
38,39,7Networks_LH_Default_Temp_2,L,cortex,scale122,,
39,40,7Networks_LH_Default_Temp_3,L,cortex,scale122,,
40,41,7Networks_LH_Default_Temp_4,L,cortex,scale122,,
41,42,7Networks_LH_Default_PFC_1,L,cortex,scale122,,
42,43,7Networks_LH_Default_PFC_2,L,cortex,scale122,,
43,44,7Networks_LH_Default_PFC_3,L,cortex,scale122,,
44,45,7Networks_LH_Default_PFC_4,L,cortex,scale122,,
45,46,7Networks_LH_Default_PFC_5,L,cortex,scale122,,
46,47,7Networks_LH_Default_PFC_6,L,cortex,scale122,,
47,48,7Networks_LH_Default_PFC_7,L,cortex,scale122,,
48,49,7Networks_LH_Default_PCC_1,L,cortex,scale122,,
49,50,7Networks_LH_Default_PCC_2,L,cortex,scale122,,
50,51,7Networks_RH_Vis_1,R,cortex,scale122,,
51,52,7Networks_RH_Vis_2,R,cortex,scale122,,
52,53,7Networks_RH_Vis_3,R,cortex,scale122,,
53,54,7Networks_RH_Vis_4,R,cortex,scale122,,
54,55,7Networks_RH_Vis_5,R,cortex,scale122,,
55,56,7Networks_RH_Vis_6,R,cortex,scale122,,
56,57,7Networks_RH_Vis_7,R,cortex,scale122,,
57,58,7Networks_RH_Vis_8,R,cortex,scale122,,
58,59,7Networks_RH_SomMot_1,R,cortex,scale122,,
59,60,7Networks_RH_SomMot_2,R,cortex,scale122,,
60,61,7Networks_RH_SomMot_3,R,cortex,scale122,,
61,62,7Networks_RH_SomMot_4,R,cortex,scale122,,
62,63,7Networks_RH_SomMot_5,R,cortex,scale122,,
63,64,7Networks_RH_SomMot_6,R,cortex,scale122,,
64,65,7Networks_RH_SomMot_7,R,cortex,scale122,,
65,66,7Networks_RH_SomMot_8,R,cortex,scale122,,
66,67,7Networks_RH_DorsAttn_Post_1,R,cortex,scale122,,
