Sample,Cook's Distance
"Right nucleus accumbens, R)",0.2737310526821531
"Left subthalamic nucleus, L)",0.16761415568294993
"Left nucleus accumbens, L)",0.09663411838134146
"Left hippocampus, L)",0.0823412158149085
"Left globus pallidus externa, L)",0.0653776939677167
"Right substantia nigra, R)",0.06510408693053074
"7Networks_RH_Default_PFCm_1, R)",0.06278281296089301
"7Networks_LH_Default_PFC_3, L)",0.052965495314427624
"Left red nucleus, L)",0.047631909542107234
"7Networks_RH_Default_PCC_1, R)",0.04211418150800086
"7Networks_RH_Vis_2, R)",0.0372442999722841
"Right subthalamic nucleus, R)",0.028025044503000845
"7Networks_RH_Cont_PFCl_1, R)",0.02774964162552976
"7Networks_LH_Default_PFC_6, L)",0.026073169867593355
"Left amygdala, L)",0.02126039322104493
"7Networks_LH_Vis_8, L)",0.01926771138789462
"7Networks_RH_Default_Temp_1, R)",0.01886449694976881
"7Networks_RH_Default_Temp_2, R)",0.01832447270156574
"Right red nucleus, R)",0.01749406554997223
